code,date,high,low,mid,last,bid,ask,volume
ZRXUSD,2/27/24,0.38121,0.36871,0.380975,0.38121,0.38085,0.3811,585502.4242
ZRXUSD,2/20/24,0.37271,0.34692,0.362915,0.36313,0.36271,0.36312,92549.41732
ZRXUSD,2/19/24,0.36573,0.35309,0.36593,0.36573,0.36591,0.36595,30737.71664
ZRXUSD,2/18/24,0.35628,0.33922,0.35672,0.35491,0.35664,0.3568,73448.38008
ZRXUSD,2/17/24,0.34732,0.32789,0.343315,0.34272,0.34324,0.34339,257131.7845
ZRXUSD,2/16/24,0.35063,0.33575,0.340695,0.34036,0.34063,0.34076,108573.7916
ZRXUSD,2/15/24,0.34165,0.33042,0.338855,0.33898,0.33882,0.33889,340830.9755
ZRXUSD,2/14/24,0.33634,0.32229,0.332135,0.33188,0.33206,0.33221,747175.2251
ZRXUSD,2/13/24,0.33025,0.3175,0.324815,0.32469,0.32471,0.32492,250033.1158
ZRXUSD,2/12/24,0.32764,0.31275,0.32762,0.32764,0.3276,0.32764,178767.2347
ZRXUSD,2/11/24,0.32693,0.31698,0.319885,0.31983,0.31979,0.31998,99849.56258
ZRXUSD,2/10/24,0.32515,0.31722,0.319725,0.31957,0.31965,0.3198,61202.34797
ZRXUSD,2/9/24,0.32546,0.31553,0.323,0.32279,0.32294,0.32306,75485.07057
ZRXUSD,2/8/24,0.3206,0.31431,0.31558,0.31616,0.31552,0.31564,192002.793
ZRXUSD,2/7/24,0.3208,0.31047,0.31862,0.31859,0.31856,0.31868,33826.74731
ZRXUSD,2/6/24,0.31652,0.31068,0.31609,0.31578,0.31602,0.31616,44429.40926
ZRXUSD,2/5/24,0.3159,0.305,0.31098,0.31079,0.3109,0.31106,17898.50764
ZRXUSD,2/4/24,0.3181,0.31081,0.313035,0.31081,0.31294,0.31313,18039.92192
ZRXUSD,2/3/24,0.32534,0.31673,0.31817,0.31819,0.31809,0.31825,10854.22625
ZRXUSD,2/2/24,0.32352,0.3168,0.32321,0.32314,0.32317,0.32325,18907.55913
ZRXUSD,2/1/24,0.31996,0.3093,0.31827,0.31812,0.3182,0.31834,94683.3967
ZRXUSD,1/31/24,0.33937,0.31497,0.317775,0.31774,0.3177,0.31785,207066.6567
ZRXUSD,1/30/24,0.34666,0.33358,0.33502,0.33493,0.33493,0.33511,144707.6302
ZRXUSD,1/29/24,0.34962,0.33414,0.346655,0.34666,0.34665,0.34666,175297.1272
ZRXUSD,1/28/24,0.40501,0.34614,0.348395,0.347,0.34808,0.34871,488395.559
ZRXUSD,1/27/24,0.40861,0.34219,0.38795,0.3897,0.38756,0.38834,619399.7203
ZRXUSD,1/26/24,0.38,0.30156,0.347865,0.3491,0.34762,0.34811,1547641.141
ZRXUSD,1/25/24,0.31,0.29691,0.30433,0.30303,0.30424,0.30442,262492.3399
ZRXUSD,1/24/24,0.30356,0.29004,0.30054,0.30048,0.30044,0.30064,21731.76498
ZRXUSD,1/23/24,0.30574,0.27942,0.29104,0.29139,0.29094,0.29114,115179.8793
ZRXUSD,1/22/24,0.32202,0.29768,0.30108,0.3002,0.30093,0.30123,594654.5774
ZRXUSD,1/21/24,0.33735,0.32094,0.321335,0.32202,0.32133,0.32134,108653.7519
ZRXUSD,1/20/24,0.32812,0.31206,0.328025,0.32791,0.32802,0.32803,108875.6037
ZRXUSD,1/19/24,0.32228,0.30225,0.315085,0.31433,0.31503,0.31514,320524.643
ZRXUSD,1/18/24,0.34003,0.31314,0.318465,0.31778,0.31839,0.31854,13738.20409
ZRXUSD,1/17/24,0.33985,0.3322,0.33475,0.33315,0.33467,0.33483,184620.1766
ZRXUSD,1/16/24,0.34369,0.33114,0.337935,0.33774,0.33779,0.33808,38527.58398
ZRXUSD,1/15/24,0.34375,0.33058,0.33712,0.33708,0.337,0.33724,80870.50754
ZRXUSD,1/14/24,0.35,0.33428,0.338905,0.33839,0.33881,0.339,218208.4536
ZRXUSD,1/13/24,0.35155,0.32832,0.34436,0.3426,0.34424,0.34448,60563.01866
ZRXUSD,1/12/24,0.36909,0.3272,0.34264,0.34318,0.34192,0.34336,283828.6886
ZRXUSD,1/11/24,0.35111,0.33143,0.343015,0.34238,0.34292,0.34311,227641.1192
ZRXUSD,1/10/24,0.33798,0.30652,0.336275,0.33624,0.33623,0.33632,649797.5129
ZRXUSD,1/9/24,0.32998,0.29745,0.307305,0.30848,0.30712,0.30749,855507.9728
ZRXUSD,1/8/24,0.32329,0.28657,0.322765,0.3226,0.3226,0.32293,676399.4373
ZRXUSD,1/7/24,0.3369,0.30778,0.311415,0.31218,0.31127,0.31156,62755.29154
ZRXUSD,1/6/24,0.33577,0.30863,0.327815,0.3282,0.32771,0.32792,106626.1404
ZRXUSD,1/5/24,0.365,0.31976,0.32944,0.32878,0.32934,0.32954,202065.5574
ZRXUSD,1/4/24,0.35316,0.32285,0.35296,0.35232,0.35292,0.353,75915.24488
ZRXUSD,1/3/24,0.37808,0.28748,0.329315,0.32939,0.32926,0.32937,533537.6456
ZRXUSD,1/2/24,0.38191,0.36593,0.37072,0.37023,0.3704,0.37104,15220.69677
ZRXUSD,1/1/24,0.37759,0.36,0.37205,0.37263,0.37176,0.37234,39725.10676
ZRXUSD,12/31/23,0.38592,0.36,0.35923,0.36,0.35892,0.35954,126740.7166
ZRXUSD,12/30/23,0.36868,0.35362,0.36243,0.36412,0.36221,0.36265,85976.28668
ZRXUSD,12/29/23,0.38056,0.35209,0.361225,0.36216,0.36112,0.36133,78946.22528
ZRXUSD,12/28/23,0.39833,0.35973,0.370585,0.36996,0.3701,0.37107,154081.4888
ZRXUSD,12/27/23,0.36301,0.34223,0.36126,0.35973,0.36124,0.36128,407654.5111
ZRXUSD,12/26/23,0.37538,0.33258,0.35847,0.35752,0.35836,0.35858,494346.3335
ZRXUSD,12/25/23,0.37185,0.35282,0.36986,0.3695,0.3697,0.37002,40202.97045
ZRXUSD,12/24/23,0.37391,0.35066,0.352875,0.35282,0.35273,0.35302,50736.34334
ZRXUSD,12/23/23,0.37032,0.35634,0.365455,0.3654,0.36525,0.36566,39691.55866
ZRXUSD,12/22/23,0.37678,0.36279,0.367135,0.36659,0.36713,0.36714,62509.58531
ZRXUSD,12/21/23,0.38323,0.37307,0.375505,0.37473,0.37539,0.37562,29004.34911
ZRXUSD,12/20/23,0.38577,0.36485,0.37953,0.37982,0.37926,0.3798,28578.51417
ZRXUSD,12/19/23,0.37499,0.36132,0.3653,0.36485,0.36521,0.36539,25718.29798
ZRXUSD,12/18/23,0.37715,0.34211,0.366595,0.366,0.36646,0.36673,103931.6834
ZRXUSD,12/17/23,0.38814,0.37374,0.378625,0.37476,0.37832,0.37893,16306.52434
ZRXUSD,12/16/23,0.39316,0.36892,0.38733,0.38646,0.38694,0.38772,16512.9355
ZRXUSD,12/15/23,0.39309,0.3751,0.378905,0.37839,0.37884,0.37897,54737.00725
ZRXUSD,12/14/23,0.3936,0.37334,0.392985,0.39289,0.3929,0.39307,93100.6517
ZRXUSD,12/13/23,0.3856,0.3572,0.38218,0.38204,0.38206,0.3823,111924.9477
ZRXUSD,12/12/23,0.38578,0.36609,0.370215,0.36956,0.36988,0.37055,486335.761
ZRXUSD,12/11/23,0.42362,0.34614,0.37998,0.38039,0.37983,0.38013,733147.4443
ZRXUSD,12/10/23,0.44884,0.41395,0.42197,0.42179,0.42176,0.42218,80686.22747
ZRXUSD,12/9/23,0.44918,0.42563,0.434535,0.43501,0.43423,0.43484,115994.2952
ZRXUSD,12/8/23,0.4283,0.40659,0.426345,0.42563,0.42606,0.42663,89642.36878
ZRXUSD,12/7/23,0.41483,0.39342,0.41127,0.41258,0.41109,0.41145,36289.88836
ZRXUSD,12/6/23,0.42206,0.39779,0.406835,0.40913,0.40675,0.40692,337428.1184
ZRXUSD,12/5/23,0.43115,0.40524,0.4131,0.41331,0.4129,0.4133,140124.3866
ZRXUSD,12/4/23,0.41767,0.385,0.406945,0.40597,0.4068,0.40709,154744.2575
ZRXUSD,12/3/23,0.41645,0.39623,0.407615,0.40676,0.40736,0.40787,42223.98072
ZRXUSD,12/2/23,0.41383,0.39875,0.412735,0.41383,0.41254,0.41293,28043.83786
ZRXUSD,12/1/23,0.405,0.37696,0.39978,0.39961,0.39966,0.3999,135608.2773
ZRXUSD,11/30/23,0.39815,0.37871,0.38403,0.38407,0.38372,0.38434,34465.50742
ZRXUSD,11/29/23,0.40479,0.38736,0.39833,0.40053,0.39821,0.39845,462161.0267
ZRXUSD,11/28/23,0.39489,0.37185,0.392475,0.39308,0.39224,0.39271,60727.7201
ZRXUSD,11/27/23,0.40303,0.38187,0.389535,0.38712,0.38939,0.38968,37033.74946
ZRXUSD,11/26/23,0.43228,0.39135,0.40395,0.40082,0.40369,0.40421,86783.74966
ZRXUSD,11/25/23,0.44176,0.41685,0.42644,0.42625,0.42625,0.42663,97915.87674
ZRXUSD,11/24/23,0.43753,0.4151,0.436905,0.43679,0.43662,0.43719,104574.9723
ZRXUSD,11/23/23,0.45373,0.40249,0.426575,0.42541,0.42617,0.42698,356186.707
ZRXUSD,11/22/23,0.41155,0.36545,0.40391,0.40491,0.40373,0.40409,840180.0576
ZRXUSD,11/21/23,0.40973,0.37577,0.381635,0.38291,0.38117,0.3821,347183.4067
ZRXUSD,11/20/23,0.4045,0.38396,0.393325,0.39279,0.39307,0.39358,171189.9006
ZRXUSD,11/19/23,0.43362,0.38508,0.38972,0.39041,0.38942,0.39002,242086.5607
ZRXUSD,11/18/23,0.4279,0.37377,0.40071,0.40074,0.40046,0.40096,237526.4226
ZRXUSD,11/17/23,0.47723,0.40614,0.42728,0.42688,0.42605,0.42851,460697.8328
ZRXUSD,11/16/23,0.62628,0.46083,0.475045,0.47479,0.47464,0.47545,1330425.23
ZRXUSD,11/15/23,0.54894,0.49462,0.53219,0.53324,0.53187,0.53251,576665.6158
ZRXUSD,11/14/23,0.56009,0.48305,0.524755,0.52654,0.52433,0.52518,821200.4516
ZRXUSD,11/13/23,0.616,0.47723,0.519515,0.51984,0.51896,0.52007,1021858.831
ZRXUSD,11/12/23,0.57655,0.43232,0.493785,0.49271,0.49357,0.494,1967150.331
ZRXUSD,11/11/23,0.46554,0.28703,0.44882,0.44809,0.44816,0.44948,4879801.524
ZRXUSD,11/10/23,0.29065,0.27445,0.2864,0.28613,0.28635,0.28645,139936.1949
ZRXUSD,11/9/23,0.295,0.2487,0.277845,0.27694,0.27784,0.27785,517047.6292
ZRXUSD,11/8/23,0.29449,0.27429,0.291655,0.29163,0.29145,0.29186,540590.4362
ZRXUSD,11/7/23,0.27631,0.2628,0.276045,0.2761,0.27599,0.2761,208781.2
ZRXUSD,11/6/23,0.27285,0.2562,0.273055,0.27285,0.27302,0.27309,328659.7336
ZRXUSD,11/5/23,0.27935,0.26074,0.26573,0.26534,0.26557,0.26589,112130.5474
ZRXUSD,11/4/23,0.27657,0.26134,0.276625,0.27612,0.27645,0.2768,145779.3782
ZRXUSD,11/3/23,0.2609,0.2485,0.261185,0.26029,0.26111,0.26126,129926.8546
ZRXUSD,11/2/23,0.27531,0.25163,0.258595,0.25781,0.2585,0.25869,307855.0244
ZRXUSD,11/1/23,0.28668,0.26083,0.27265,0.27408,0.27246,0.27284,329510.0927
ZRXUSD,10/31/23,0.31703,0.26804,0.283515,0.28392,0.28329,0.28374,1537237.163
ZRXUSD,10/30/23,0.27893,0.25588,0.266255,0.26769,0.26606,0.26645,221102.8711
ZRXUSD,10/29/23,0.26904,0.23606,0.262335,0.26076,0.26211,0.26256,242518.8026
ZRXUSD,10/28/23,0.24177,0.23347,0.239345,0.239,0.23925,0.23944,41384.50096
ZRXUSD,10/27/23,0.2396,0.22789,0.23461,0.23432,0.23442,0.2348,45752.61684
ZRXUSD,10/26/23,0.2507,0.22745,0.23684,0.2368,0.23668,0.237,94764.47068
